ID,Title,Description,Category_title,Geometry_Coordinates_1,Geometry_Coordinates_2,Geometry_Coordinates_3,Geometry_Coordinates_4,Date,Time
EONET_14198,HOPE Wildfire  Stevens  Washington,15 Miles N from KETTLE FALLS  WA,Wildfires,-117.982361  48.821248,,,,2025-07-08,16:38:00
EONET_14200,Hot Canyon Wildfire  Elko  Nevada,10 Miles NW from Montello  NV,Wildfires,-114.336333  41.368,,,,2025-07-08,16:18:00
EONET_14215,13 MILE FIRE Wildfire  Palm Beach  Florida,21 Miles S from BELLE GLADE  FL,Wildfires,-80.79  26.3833333,,,,2025-07-08,15:34:00
EONET_14209,UDC Fire Wildfire  Jefferson  Oregon,1 Miles SW from warm springs  OR,Wildfires,-121.288889  44.803444,,,,2025-07-07,22:59:00
EONET_14199,0482 SUNRISE Wildfire  Crook  Oregon,8 Miles S from Paulina  OR,Wildfires,-120.038167  44.019167,,,,2025-07-07,14:45:00
EONET_14218,Wheeler Wildfire  Yukon-Koyukuk  Alaska,,Wildfires,-156.631383  66.135283,,,,2025-07-07,12:12:00
EONET_14196,Sikik Wildfire  Northwest Arctic  Alaska,60 Miles N from Ambler  AK,Wildfires,-158.14  67.97,,,,2025-07-06,12:35:00
EONET_14180,Tropical Storm Chantal,,Severe Storms,-78.7  31.1,-78.7  31.9,-78.8  32.7,-79.1  33.6,2025-07-05,15:00:00
EONET_14197,Tsukon Wildfire  Yukon-Koyukuk  Alaska,17 Miles NW from Venetie  AK,Wildfires,-146.021117  66.8268,,,,2025-07-04,20:43:00
EONET_14207,Bartlett Wildfire  Humboldt  Nevada,60 Miles NW from Winnemucca  NV,Wildfires,-118.867117  41.4988,,,,2025-07-04,18:31:00
EONET_14202,Flicker Wildfire  Phillips  Montana,40 Miles S from Malta  MT,Wildfires,-108.161667  47.621667,,,,2025-07-04,14:25:00
EONET_14174,Typhoon Danas,,Severe Storms,117.8  20.1,117.6  20,117.7  20.3,117.9  20.5,2025-07-04,12:00:00
EONET_14204,BARBER Wildfire  Pershing  Nevada,11 Miles S from Winnemucca  NV,Wildfires,-117.863733  40.714483,,,,2025-07-04,03:33:00
EONET_14203,BUTLER Wildfire  Siskiyou  California,10 Miles E from Orleans  CA,Wildfires,-123.410667  41.315333,,,,2025-07-03,21:44:00
